PROJECT_DEV,WBS_element,Sales_Document,SO DATE,CUSTOMER PO NUMBER,Sold-to_party,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM.1,UNIT PRICE DO,DELIVERED,TO BE DELIVER QTY,INVOICED QTY,UOM.2,UNIT PRICE INVOICE,TOTAL PRICE BILLING,TO BE INVOICED,PO date,Req.dlv.dt,Duration (in days),Status
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB031M25000003,SPRING SEAT,60,400,PC,115160000,46064000000,400,,115160000,46064000000,0,0,,115160000,0,400,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB032M25000004,PLATE,640,400,PC,2520000,1008000000,400,,2520000,1008000000,0,0,,2520000,0,400,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004005,SWING HANGER BRACKET,2180,400,PC,53560000,21424000000,400,,53560000,21424000000,0,0,,53560000,0,400,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004007,PIN BRACKET,2220,400,PC,6200000,2480000000,400,,6200000,2480000000,0,0,,6200000,0,400,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004025,BRACKET SEAT,2620,400,PC,11560000,4624000000,400,,11560000,4624000000,0,0,,11560000,0,400,20.09.2024,31.01.2025,133,Complete
M1-24003,M1-24003.9000000414,1200000332,10/5/2024,4500011797,140000,FGB070M25004026,BRACKET SEAT,2640,400,PC,5760000,2304000000,400,,5760000,2304000000,0,0,,5760000,0,400,20.09.2024,31.01.2025,133,Complete
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AG1002P03,Openable Window,60,796,SET,6763658964,5.38E+12,381,,6763658964,2.58E+12,415,381,,6763658964,2.58E+12,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGC95LF0809,Palu darurat,700,796,PC,60185560,47907705760,347,,60185560,20884389320,449,347,,60185560,20884389320,0,04.09.2023,30.04.2026,969,On Progress
M1-22041,M1-22041.4500010091,1200000287,1/22/2024,4500010091,140000,FGB50AG1002P02,Emergency Window,50,796,SET,4559207012,3.63E+12,322,,4559207012,1.47E+12,474,322,,4559207012,1.47E+12,0,04.09.2023,30.04.2026,969,On Progress
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB44KD0010,WASHER_PLAIN,320,320,PC,233280,74649600,320,,233280,74649600,0,0,,233280,0,320,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB42EI1016,SOCKET_HEAD_CAP_SCREW,270,300,PC,1942800,582840000,300,,1942800,582840000,0,0,,1942800,0,300,06.06.2024,12.07.2024,36,Complete
M1-23002,M1-23002.4500011040,1200000309,6/10/2024,4500011040,140000,FGB44KD0100,WASHER_PLAIN,330,300,PC,315600,94680000,300,,315600,94680000,0,0,,315600,0,300,06.06.2024,12.07.2024,36,Complete
