Posting Date,Material,Material Description,Purchase Order,Document Date,Qty in Un. of Entry,Item,Movement Type,WBS Element,Unit of Entry,Item,Amount in LC,Material Document,User Name,Document Header Text,Reference,Order,Vendor,Reservation,Batch,WBS Element
2024-01-02,B51NDDHG012,DOUBLE NIPPLE 1/2,,2024-01-02,-30,0,221,M1-22041.4300003938.1,PC,8,-585184,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B51NDDHG100,"DOUBLE NIPPLE 1""",,2024-01-02,-15,0,221,M1-22041.4300003938.1,PC,11,-370425,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B51NDPFR012,"SOCKET 1/2""",,2024-01-02,-30,0,221,M1-22041.4300003938.1,PC,6,-867322,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B51NDPFR100,"SOCKET 1""",,2024-01-02,-30,0,221,M1-22041.4300003938.1,PC,5,-1860000,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B51NDPIR100,"UNION (UNION STRAIGHT JOINT 1"")",,2024-01-02,-180,0,221,M1-22041.4300003938.1,PC,7,-15876000,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B51NDPWG012,"ELBOW JOINT 1/2""",,2024-01-02,-105,0,221,M1-22041.4300003938.1,PC,3,-1766789,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B51NDPWG100,ELBOW JOINT 1,,2024-01-02,-180,0,221,M1-22041.4300003938.1,PC,1,-9338754,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B51NDQBR100R012,BUSHING FITTING,,2024-01-02,-45,0,221,M1-22041.4300003938.1,PC,9,-1718683,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B51NDQWG100,"TEE JOINT 1""",,2024-01-02,-45,0,221,M1-22041.4300003938.1,PC,2,-2832979,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B51NDQWR012,"TEE JOINT 1/2""",,2024-01-02,-30,0,221,M1-22041.4300003938.1,PC,4,-1050193,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B561K74001035,U BOLT 2,,2024-01-02,-150,0,221,M1-22041.4300003938.1,PC,13,-1800000,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B561K74001037,U BOLT 4,,2024-01-02,-75,0,221,M1-22041.4300003938.1,PC,15,-787500,4900300580,IMS_INVT01,,DALMAT GE INKA,,,61304,,M1-22041.4300003938.1
2024-01-02,B762A16003,LOCKING,,2024-01-02,-30,0,221,M1-22041.4300003938.1,PC,2,-1080000,4900300530,IMS_INVT01,,WS. BAGI,,,61333,,M1-22041.4300003938.1
2024-01-02,BACI2001106,RUBBER SEAL PIPE,,2024-01-02,-100,0,221,M1-22041.4300003938.1,PC,1,-415000,4900300526,IMS_INVT01,,WS. BAGI,,,61355,,M1-22041.4300003938.1
2024-01-02,D31WG0001,BENSIN,,2024-01-02,-200.00,0,221,M1-22041.4300003938.1,L,3,-3560000,4900300530,IMS_INVT01,,WS. BAGI,,,61333,,M1-22041.4300003938.1
2024-01-02,D62QE0034#HB,PRIMER SURFACER EP PLUS 534 - 5068 + HAR,,2024-01-02,-80,0,221,M1-22041.4300003938.1,LTS,2,-7288000,4900300496,IMS_INVT01,,WS. BAGI,,,61315,,M1-22041.4300003938.1
2024-01-02,D62QECF1K-DNP,WASH PRIMER 1K,,2024-01-02,-10.00,0,221,M1-22041.4300003938.1,L,7,-2752000,4900300530,IMS_INVT01,,WS. BAGI,,,61333,,M1-22041.4300003938.1
2024-01-02,D64QF00007-DNP,THINNER DANAGLOSS PU,,2024-01-02,-40.00,0,221,M1-22041.4300003938.1,L,1,-1440000,4900300496,IMS_INVT01,,WS. BAGI,,,61315,,M1-22041.4300003938.1
2024-01-02,D67UK7447,SCOTCH BRITE,,2024-01-02,-30,0,221,M1-22041.4300003938.1,PC,1,-300000,4900300500,IMS_INVT01,,WS. BAGI,,,61318,,M1-22041.4300003938.1
2024-01-02,A16ND0340L-S80,"STEEL PIPE 1""",,2024-01-02,-6,0,221,M1-22041.4300003938.2,STK,1,-13230000,4900300596,IMS_INVT01,,FABRIKASI INKA,,,61260,,M1-22041.4300003938.2
2024-01-02,B50AH01777,ROLLER / RODA PINTU SLIDING,,2024-01-02,-32,0,221,M1-22041.4300003938.2,SET,1,-2400000,4900300531,IMS_INVT01,,WS. BAGI,,,61342,,M1-22041.4300003938.2
2024-01-02,B50CD0104,KRAN (FAUCET),,2024-01-02,-7,0,221,M1-22041.4300003938.2,PC,1,-1225000,4900300497,IMS_INVT01,,WS. BAGI,,,61319,,M1-22041.4300003938.2
2024-01-02,D30WC1224S,AGREGAT SMALL,,2024-01-02,-5130.00,0,221,M1-22041.4300003938.2,KG,1,-42322500,4900300515,IMS_INVT01,,WS. INKA,,,61346,,M1-22041.4300003938.2
2024-01-02,A10WY0200,HONEYCOMB,,2024-01-02,-11.00,0,221,M1-22041.4300003938.3,SHT,1,-11315700,4900300499,IMS_INVT01,,WS. BAGI,,,61320,,M1-22041.4300003938.3
2024-01-02,B50AC2400,HINGE,,2024-01-02,-6,0,221,M1-22041.4300003938.3,PC,1,-250800,4900300534,IMS_INVT01,,WS. BAGI,,,61341,,M1-22041.4300003938.3
2024-01-02,D30WC2448L,AGREGAT LARGE,,2024-01-02,-3200.00,0,221,M1-22041.4300003938.3,KG,1,-24640000,4900300522,IMS_INVT01,,WS. INKA,,,61347,,M1-22041.4300003938.3
2024-01-02,D68QH255-206#BCF,SIKAFLEX 255 BLACK FC,,2024-01-02,-5,0,221,M1-22041.4300003938.3,SAU,1,-625000,4900300553,IMS_INVT01,,WS. BAGI,,,61339,,M1-22041.4300003938.3
2024-01-02,A11AB0023,STEEL PLATE,,2024-01-02,-6.00,0,221,M1-22041.4300003938.4,SHT,1,-5011692,4900300626,IMS_INVT01,,FABRIKASI INKA,,,61059,,M1-22041.4300003938.4
2024-01-02,A11AB0032,STEEL PLATE,,2024-01-02,-1.00,0,221,M1-22041.4300003938.4,SHT,1,-1081770,4900307608,IMS_INVT01,,FABRIKASI WS.INK,,,56361,,M1-22041.4300003938.4
2024-01-02,A16HS0217L-S80,"STEEL PIPE 1/2""",,2024-01-02,-1,0,221,M1-22041.4300003938.4,STK,2,-248000,4900300631,IMS_INVT01,,FABRIKASI INKA,,,61373,,M1-22041.4300003938.4
2024-01-02,A16HS0272L-S80,"STEEL PIPE 3/4""",,2024-01-02,-4,0,221,M1-22041.4300003938.4,STK,1,-1352000,4900300631,IMS_INVT01,,FABRIKASI INKA,,,61373,,M1-22041.4300003938.4
2024-01-02,A16HS0340L-S80,"STEEL PIPE 1""",,2024-01-02,-6,0,221,M1-22041.4300003938.4,STK,3,-2728647,4900300631,IMS_INVT01,,FABRIKASI INKA,,,61373,,M1-22041.4300003938.4
2024-01-02,A16ND0340L-S80,"STEEL PIPE 1""",,2024-01-02,-15,0,221,M1-22041.4300003938.4,STK,1,-33075000,4900300594,IMS_INVT01,,FABRIKASI INKA,,,61060,,M1-22041.4300003938.4
2024-01-02,A18ND010010,SQUARE BAR,,2024-01-02,-13,0,221,M1-22041.4300003938.4,STK,1,-4147000,4900300593,IMS_INVT01,,,,,61059,,M1-22041.4300003938.4
2024-01-02,A18ND010010,SQUARE BAR,,2024-01-02,-7,0,221,M1-22041.4300003938.4,STK,2,-2233000,4900300626,IMS_INVT01,,FABRIKASI INKA,,,61059,,M1-22041.4300003938.4
2024-01-02,D68QH255-206#BCF,SIKAFLEX 255 BLACK FC,,2024-01-02,-5,0,221,M1-22041.4300003938.4,SAU,1,-625000,4900300505,IMS_INVT01,,WS. BAGI,,,61340,,M1-22041.4300003938.4
2024-01-02,D68QH255-206#BCF,SIKAFLEX 255 BLACK FC,,2024-01-02,-20,0,221,M1-22041.4300003938.4,SAU,1,-2500000,4900300495,IMS_INVT01,,WS. BAGI,,,61321,,M1-22041.4300003938.4
2024-01-02,A15AB0090,ROUND BAR,,2024-01-02,-6,0,221,M1-23010.4300004430,STK,1,-249411,4900300600,IMS_INVT01,,FABRIKASI INKA,,,58953,,M1-23010.4300004430
2024-01-02,A10TY0007#DB,"TACO TH 172 GL, Deco Dark Brown Glossy",,2024-01-02,-5.00,0,221,M1-23011.4300004437,SHT,1,-1675000,4900300568,IMS_INVT01,,WS. BAGI,,,61362,,M1-23011.4300004437
2024-01-02,B50CE0102,DOWNLIGHT,,2024-01-02,-22,0,221,M1-23011.4300004437,PC,1,-2640000,4900300543,IMS_INVT01,,WS. BAGI,,,61356,,M1-23011.4300004437
2024-01-02,B50DD0102,HANDGRIP,,2024-01-02,-11,0,221,M1-23011.4300004437,PC,1,-9421500,4900300538,IMS_INVT01,,WS. BAGI,,,61357,,M1-23011.4300004437
2024-01-02,D68QH255-206#BCF,SIKAFLEX 255 BLACK FC,,2024-01-02,-10,0,221,M1-23011.4300004437,SAU,1,-1250000,4900300506,IMS_INVT01,,WS. BAGI,,,61337,,M1-23011.4300004437
