Material,Plnt,SLoc,S,Special stock number,BUn,Unrestricted,Crcy,Value Unrestricted
A10WG0010#GR,2301,IS01,Q,,SHT,"69,00",IDR,
A10WG0010#GR,2301,IS01,Q,,SHT,"61,00",IDR,
A10WG0010#GR,2301,IS01,Q,,SHT,"24,00",IDR,
A10WG0010#GR,2301,IS01,Q,,SHT,"23,00",IDR,
A10WG0010#GR,2301,IS01,Q,,SHT,"11,00",IDR,
A10WG0010#GR,2301,IS01,Q,,SHT,"1,00",IDR,
A10WG0010#GR,2301,IS01,Q,,SHT,"2,00",IDR,
A10WG0020#GR,2301,IS01,Q,,SHT,"153,00",IDR,
A10WG0020#GR,2301,IS01,Q,,SHT,"425,00",IDR,
A10WG0020#GR,2301,IS01,Q,,SHT,"110,00",IDR,
A10WG0020#GR,2301,IS01,Q,,SHT,"80,00",IDR,
A10WG0020#GR,2301,IS01,Q,,SHT,"10,00",IDR,
A10WG0030#GR,2301,IS01,Q,,SHT,"85,00",IDR,
A10WG0030#GR,2301,IS01,Q,,SHT,"48,00",IDR,
A10WG0030#GR,2301,IS01,Q,,SHT,"44,00",IDR,
A10WG0030#GR,2301,IS01,Q,,SHT,"4,00",IDR,
A10WG0050#GR,2301,IS01,Q,,SHT,"3,00",IDR,
A10WG0050#GR,2301,IS01,Q,,SHT,"42,00",IDR,
A10WG0050#GR,2301,IS01,Q,,SHT,"9,00",IDR,
A10WG0050#GR,2301,IS01,Q,,SHT,"11,00",IDR,
A10WG0050#GR,2301,IS01,Q,,SHT,"1,00",IDR,
A10WG0060#GR,2301,IS01,,,SHT,"5,00",IDR,
A10WG0060#GR,2301,IS01,Q,,SHT,"1,00",IDR,
A10WG0080#GR,2301,IS01,Q,,SHT,"3,00",IDR,
A10WG0080#GR,2301,IS01,Q,,SHT,"16,00",IDR,
A10WG0080#GR,2301,IS01,Q,,SHT,"15,00",IDR,
A10WG0080#GR,2301,IS01,Q,,SHT,"2,00",IDR,
A10WY0100,2301,IS01,Q,,SHT,"111,00",IDR,
A10WY0100,2301,IS01,Q,,SHT,"23,00",IDR,
A10WY0150,2301,IS01,Q,,SHT,"29,00",IDR,
A10WY0150,2301,IS01,Q,,SHT,"389,00",IDR,
A10WY0150,2301,IS01,Q,,SHT,"249,00",IDR,
A10WY0150,2301,IS01,Q,,SHT,"1,00",IDR,
A10WY0150,2301,IS01,Q,,SHT,"106,00",IDR,
A10WY0150,2301,IS01,Q,,SHT,"1,00",IDR,
A10WY0150,2301,IS01,Q,,SHT,"47,00",IDR,
A10WY0200,2301,IS01,Q,,SHT,"3,00",IDR,
A10WY0200,2301,IS01,Q,,SHT,"12,00",IDR,
A10WY0200,2301,IS01,Q,,SHT,"29,00",IDR,
A10WY0200,2301,IS01,Q,,SHT,"5,00",IDR,
A10WY0200,2301,IS01,Q,,SHT,"22,00",IDR,
A10WY0200,2301,IS01,Q,,SHT,"18,00",IDR,
A10WY0200,2301,IS01,Q,,SHT,"1,00",IDR,
A10WY0200,2301,IS01,Q,,SHT,"172,00",IDR,
A10WY0200,2301,IS01,Q,,SHT,"62,00",IDR,
A10WZ0180,2301,IS01,Q,,SHT,"7,00",IDR,
A10XB02060060,2301,IS01,Q,,SHT,"27,00",IDR,
