Material,Plnt,SLoc,S,Special stock number,BUn,Unrestricted,Crcy,Value Unrestricted
A28TK28030,2301,IS01,Q,,M,"1.400,00",IDR,
A28TK28035,2301,IS01,Q,,M,"2.400,00",IDR,
A28TK28035,2301,IS01,Q,,M,"1.697,00",IDR,
A28TK28035,2301,IS01,Q,,M,"500,00",IDR,
A28TK28035,2301,IS01,Q,,M,"400,00",IDR,
A28TK28035,2301,IS01,Q,,M,"1.400,00",IDR,
A28TK28055,2301,IS01,Q,,M,"1.500,00",IDR,
A38ND2814020D,2301,IS01,Q,,STK,385,IDR,
A38ND2830020D,2301,IS01,Q,,STK,44,IDR,
A38ND2830020D,2301,IS01,Q,,STK,67,IDR,
A38ND4022050D,2301,IS01,Q,,STK,400,IDR,
A52TE6842,2301,IS01,,,M,"5,00",IDR,
A52TK13220#AA,2301,IS01,Q,,M,"10,00",IDR,
A52TK340254,2301,IS01,,,M,"200,00",IDR,
A52YR000250#BL,2301,IS01,,,M,"1,00",IDR,
A52ZM02015,2301,IS01,Q,,M,"14.000,00",IDR,
A52ZM02015,2301,IS01,Q,,M,"12.968,00",IDR,
A52ZM02015,2301,IS01,Q,,M,"360,00",IDR,
A52ZM02025,2301,IS01,Q,,M,"1.910,00",IDR,
A52ZM02025,2301,IS01,Q,,M,"9.950,00",IDR,
A52ZM02025,2301,IS01,Q,,M,"2.850,00",IDR,
A52ZM02025,2301,IS01,Q,,M,"120,00",IDR,
A52ZM02040,2301,IS01,Q,,M,"6.038,00",IDR,
A52ZM02040,2301,IS01,Q,,M,"7.534,00",IDR,
A52ZM02060,2301,IS01,Q,,M,"105,00",IDR,
A52ZM02080,2301,IS01,Q,,M,"398,00",IDR,
A52ZM02080,2301,IS01,Q,,M,"114,00",IDR,
A52ZM02080,2301,IS01,Q,,M,"115,00",IDR,
A52ZM02080,2301,IS01,Q,,M,"22,00",IDR,
A52ZM02080,2301,IS01,Q,,M,"8,00",IDR,
A68ZB1153,2301,IS01,,,KG,"2.800,00",IDR,
A68ZB1153,2301,IS01,Q,,KG,"2.850,00",IDR,
A68ZB1153,2301,IS01,Q,,KG,"550,00",IDR,
A68ZB2003,2301,IS01,Q,,KG,"20,00",IDR,
A68ZB2003,2301,IS01,Q,,KG,"5,00",IDR,
A68ZB2003,2301,IS01,Q,,KG,"4,00",IDR,
A68ZB2005-A,2301,IS01,,,KG,"10,00",IDR,
A68ZB2005-A,2301,IS01,Q,,KG,"154,00",IDR,
A68ZB2005-A,2301,IS01,Q,,KG,"200,00",IDR,
A68ZB2005-A,2301,IS01,Q,,KG,"70,00",IDR,
A68ZB2020,2301,IS01,,,KG,"5,00",IDR,
A68ZB2020,2301,IS01,Q,,KG,"34,00",IDR,
A68ZB2020,2301,IS01,Q,,KG,"10,00",IDR,
A68ZB2160,2301,IS01,Q,,L,"10,00",IDR,
A68ZB2160,2301,IS01,Q,,L,"40,00",IDR,
A68ZB2160,2301,IS01,Q,,L,"100,00",IDR,
A68ZB2160,2301,IS01,Q,,L,"480,00",IDR,
A68ZB2160,2301,IS01,Q,,L,"320,00",IDR,
A68ZB2160,2301,IS01,Q,,L,"160,00",IDR,
A68ZB22141-TEXL,2301,IS01,Q,,KG,"450,00",IDR,
A68ZB3003,2301,IS01,Q,,KG,"9,00",IDR,
A68ZB3300,2301,IS01,,,KG,"6,00",IDR,
A68ZB3300,2301,IS01,Q,,KG,"60,00",IDR,
A68ZB3300,2301,IS01,Q,,KG,"38,00",IDR,
A68ZB3300,2301,IS01,Q,,KG,"98,00",IDR,
A68ZB3300,2301,IS01,Q,,KG,"14,00",IDR,
A68ZB3300,2301,IS01,Q,,KG,"648,00",IDR,
A68ZB3300,2301,IS01,Q,,KG,"600,00",IDR,
A68ZB3300,2301,IS01,Q,,KG,"108,00",IDR,
A68ZB3300,2301,IS01,Q,,KG,"378,00",IDR,
A68ZB3400,2301,IS01,,,KG,"560,00",IDR,
A68ZB3400,2301,IS01,Q,,KG,"39,00",IDR,
B000I180020101,2301,IS01,Q,,PC,3,IDR,
B010I43012,2301,IS01,,,PC,16,IDR,
B010S51502,2301,IS01,,,PC,16,IDR,
B011I112005001,2301,IS01,Q,,PC,448,IDR,
B011I17003,2301,IS01,,,PC,32,IDR,
B04NDJDA012-300,2301,IS01,,,PC,4,IDR,
B04NDJDA012-300,2301,IS01,Q,,PC,1,IDR,
B04NDJDA012-300,2301,IS01,Q,,PC,5,IDR,
B04NDJDA012-500,2301,IS01,Q,,PC,1,IDR,
B04NDJDA012-500,2301,IS01,Q,,PC,40,IDR,
B04NDJDA012-500,2301,IS01,Q,,PC,129,IDR,
B04NDJDA012-500,2301,IS01,Q,,PC,92,IDR,
B04NDJDA012-500,2301,IS01,Q,,PC,5,IDR,
B04NDJDA012-500,2301,IS01,Q,,PC,8,IDR,
B04NDJDA012-500,2301,IS01,Q,,PC,20,IDR,
B04NDJDA012-500,2301,IS01,Q,,PC,9,IDR,
B04NDJDA012-600,2301,IS01,Q,,PC,340,IDR,
B04NDJDB012-500,2301,IS01,,,PC,2,IDR,
B04THJD02114,2301,IS01,Q,,PC,42,IDR,
B04THJD02120,2301,IS01,Q,,PC,56,IDR,
B100M1805602,2301,IS01,Q,,PC,4,IDR,
B100M18057,2301,IS01,Q,,PC,48,IDR,
B10TI101546,2301,IS02,Q,,PC,9,IDR,
B10TI303040,2301,IS01,,,PC,4,IDR,
B131I43001,2301,IS01,,,PC,128,IDR,
B131I43001,2301,IS01,Q,,PC,32,IDR,
B210A18402006,2301,IS01,Q,,PC,2.360,IDR,
B210A18402006,2301,IS01,Q,,PC,472,IDR,
B210P62105,2301,IS01,Q,,SET,2,IDR,
B210P62205,2301,IS01,Q,,SET,2,IDR,
B211I112069001,2301,IS01,Q,,PC,488,IDR,
B211I112070001,2301,IS01,Q,,PC,488,IDR,
B211I112071001,2301,IS01,Q,,PC,488,IDR,
B211I112072001,2301,IS01,Q,,PC,488,IDR,
B211I112073001,2301,IS01,Q,,PC,488,IDR,
B211I113902001,2301,IS03,Q,,PC,80,IDR,
B211I113903001,2301,IS03,Q,,PC,40,IDR,
B211I17006,2301,IS01,Q,,PC,240,IDR,
B211I17007,2301,IS01,Q,,PC,234,IDR,
B211K72003023,2301,IS01,Q,,PC,212,IDR,
B212I112002001,2301,IS01,Q,,PC,488,IDR,
B212I112006001,2301,IS01,Q,,PC,488,IDR,
B212I112008001,2301,IS01,Q,,PC,488,IDR,
B213A18401004,2301,IS01,Q,,PC,20,IDR,
B213A18401005,2301,IS01,Q,,PC,20,IDR,
B213A18401006,2301,IS01,Q,,PC,99,IDR,
B213A18401007,2301,IS01,Q,,PC,99,IDR,
B213A18401008,2301,IS01,Q,,PC,240,IDR,
B213A18401009,2301,IS01,Q,,PC,450,IDR,
B213A18401014,2301,IS01,Q,,PC,20,IDR,
B213A18401015,2301,IS01,Q,,PC,99,IDR,
B213I112033001,2301,IS01,Q,,PC,1.464,IDR,
B213K72001002,2301,IS01,Q,,PC,97,IDR,
B213K72001002,2301,IS01,Q,,PC,35,IDR,
B213K72001002,2301,IS01,Q,,PC,66,IDR,
B213K72001003,2301,IS01,Q,,PC,34,IDR,
B213K72001005,2301,IS01,Q,,PC,136,IDR,
B213K72001005,2301,IS01,Q,,PC,574,IDR,
B213K72001005,2301,IS01,Q,,PC,982,IDR,
B213K72001005,2301,IS01,Q,,PC,416,IDR,
B213K72001010,2301,IS01,Q,,PC,10,IDR,
B213K72001010,2301,IS01,Q,,PC,22,IDR,
B213K72001012,2301,IS01,Q,,PC,79,IDR,
B213K72001012,2301,IS01,Q,,PC,65,IDR,
B213K72001012,2301,IS01,Q,,PC,55,IDR,
B213K72001013,2301,IS01,Q,,PC,88,IDR,
B213K72001013,2301,IS01,Q,,PC,13,IDR,
B213K72001013,2301,IS01,Q,,PC,42,IDR,
B213K72001013,2301,IS01,Q,,PC,55,IDR,
B213K72001014,2301,IS01,Q,,PC,22,IDR,
B213K72001014,2301,IS01,Q,,PC,341,IDR,
B213K72001014,2301,IS01,Q,,PC,20,IDR,
B213K72001014,2301,IS01,Q,,PC,52,IDR,
B213P62201002,2301,IS01,Q,,PC,24,IDR,
B213P62201003,2301,IS01,Q,,STK,8,IDR,
B213P62201004,2301,IS01,Q,,PC,8,IDR,
B213P62201006,2301,IS01,Q,,PC,16,IDR,
B214I18013001,2301,IS03,Q,,PC,20,IDR,
B214I18014001,2301,IS03,Q,,PC,10,IDR,
B214I18015001,2301,IS03,Q,,PC,10,IDR,
B214I18018001,2301,IS03,Q,,PC,10,IDR,
B214I18019001,2301,IS03,Q,,PC,10,IDR,
B214I18020001,2301,IS03,Q,,PC,10,IDR,
B214I18021001,2301,IS03,Q,,PC,10,IDR,
B214I18022001,2301,IS03,Q,,PC,10,IDR,
B214I18023001,2301,IS03,Q,,PC,10,IDR,
B214I18025001,2301,IS03,Q,,PC,10,IDR,
B214I18026001,2301,IS03,Q,,PC,10,IDR,
B214I18027001,2301,IS03,Q,,PC,10,IDR,
B214I18028001,2301,IS03,Q,,PC,10,IDR,
B214I18029001,2301,IS03,Q,,PC,10,IDR,
B214I18030001,2301,IS03,Q,,PC,10,IDR,
B214I18031001,2301,IS03,Q,,PC,10,IDR,
B214I18032001,2301,IS03,Q,,PC,10,IDR,
B214I18033001,2301,IS03,Q,,PC,10,IDR,
B214I18034001,2301,IS03,Q,,PC,10,IDR,
B214I18036001,2301,IS03,Q,,PC,10,IDR,
B214I18037001,2301,IS03,Q,,PC,10,IDR,
B214I18038001,2301,IS03,Q,,PC,20,IDR,
B214I18039001,2301,IS03,Q,,PC,10,IDR,
B214I18040001,2301,IS03,Q,,PC,10,IDR,
B214I18041001,2301,IS03,Q,,PC,10,IDR,
B214I18042001,2301,IS03,Q,,PC,20,IDR,
B214I18043001,2301,IS03,Q,,PC,20,IDR,
B214I18044001,2301,IS03,Q,,PC,20,IDR,
B214I18045001,2301,IS03,Q,,PC,10,IDR,
B214I18046001,2301,IS03,Q,,PC,20,IDR,
B214I18047001,2301,IS03,Q,,PC,20,IDR,
B214I18048001,2301,IS03,Q,,PC,20,IDR,
B215I112001001,2301,IS01,Q,,PC,284,IDR,
B215I112002001,2301,IS01,Q,,PC,284,IDR,
B215I112005001,2301,IS01,Q,,PC,144,IDR,
B215I112006001,2301,IS01,Q,,PC,284,IDR,
B215I112007001,2301,IS01,Q,,PC,144,IDR,
B215I112008001,2301,IS01,Q,,PC,144,IDR,
B215I112012001,2301,IS01,Q,,PC,144,IDR,
B221K74002005,2301,IS03,Q,,PC,8,IDR,
B221K74002006,2301,IS03,Q,,PC,2,IDR,
B221K74002008,2301,IS03,Q,,PC,2,IDR,
B221K74002009,2301,IS03,Q,,PC,4,IDR,
B221K74002010L,2301,IS03,Q,,PC,1,IDR,
B221K740020111L,2301,IS03,Q,,PC,1,IDR,
B221K740020112,2301,IS03,Q,,PC,7,IDR,
B221K74002013,2301,IS03,Q,,PC,1,IDR,
B221K74002014,2301,IS03,Q,,PC,2,IDR,
B221K74002015,2301,IS03,Q,,PC,1,IDR,
B221K74002017,2301,IS03,Q,,PC,4,IDR,
B221K74002018,2301,IS03,Q,,PC,1,IDR,
B221K74002019,2301,IS03,Q,,PC,1,IDR,
B221K740020211L,2301,IS03,Q,,PC,1,IDR,
B221K740020212,2301,IS03,Q,,SET,7,IDR,
B221K74002022L,2301,IS03,Q,,PC,1,IDR,
B221K74002023,2301,IS03,Q,,PC,1,IDR,
B221K74002024,2301,IS03,Q,,PC,1,IDR,
B221K74002028,2301,IS03,Q,,PC,1,IDR,
B221K74002029,2301,IS03,Q,,PC,2,IDR,
B221K74002030,2301,IS03,Q,,PC,1,IDR,
B221K740020371,2301,IS03,Q,,PC,1,IDR,
B221K740020372,2301,IS03,Q,,PC,7,IDR,
B221K74002038,2301,IS03,Q,,PC,2,IDR,
B221K74002039,2301,IS03,Q,,PC,1,IDR,
B221K74002042,2301,IS03,Q,,PC,1,IDR,
B221K74002043,2301,IS03,Q,,PC,1,IDR,
B221K74002044,2301,IS03,Q,,PC,20,IDR,
B221K74002045,2301,IS03,Q,,PC,6,IDR,
B221K74002046,2301,IS03,Q,,PC,3,IDR,
B221K74002047,2301,IS03,Q,,PC,6,IDR,
B221K74002048,2301,IS03,Q,,PC,3,IDR,
B221K740020521L,2301,IS03,Q,,PC,1,IDR,
B221K740020522,2301,IS03,Q,,PC,7,IDR,
B221K74002053,2301,IS03,Q,,PC,1,IDR,
B221K74002054,2301,IS03,Q,,PC,2,IDR,
B221K74002055,2301,IS03,Q,,PC,1,IDR,
B221K74002056,2301,IS03,Q,,PC,1,IDR,
B221K74002059,2301,IS03,Q,,PC,2,IDR,
B221K74002060,2301,IS03,Q,,PC,2,IDR,
B221K74002061,2301,IS03,Q,,PC,2,IDR,
B231K7200297,2301,IS01,Q,,PC,18,IDR,
B251K7200403,2301,IS01,Q,,PC,14,IDR,
B251K7200404,2301,IS01,Q,,PC,14,IDR,
B251K7200406,2301,IS01,Q,,PC,56,IDR,
B251K7200407,2301,IS01,Q,,PC,14,IDR,
B251K7200408,2301,IS01,Q,,PC,14,IDR,
B251K7200409,2301,IS01,Q,,PC,168,IDR,
B251K7200410,2301,IS01,Q,,PC,84,IDR,
B251K7200411,2301,IS01,Q,,PC,14,IDR,
B251K7200412,2301,IS01,Q,,PC,28,IDR,
B251K7200413,2301,IS01,Q,,PC,224,IDR,
B251K7200414,2301,IS01,Q,,PC,14,IDR,
B251K7200415,2301,IS01,Q,,PC,56,IDR,
B251K7200416,2301,IS01,Q,,PC,70,IDR,
B251K7200417,2301,IS01,Q,,PC,70,IDR,
B251K7200418,2301,IS01,Q,,PC,14,IDR,
B251K7200419,2301,IS01,Q,,PC,14,IDR,
B251K7200420,2301,IS01,Q,,PC,56,IDR,
B251K7200421,2301,IS01,Q,,PC,8,IDR,
B281A18102,2301,IS01,Q,,PC,96,IDR,
B281A18104,2301,IS01,Q,,SET,45,IDR,
B281A18104,2301,IS01,Q,,SET,3,IDR,
B281A18202,2301,IS01,Q,,PC,16,IDR,
B281A18204,2301,IS01,Q,,SET,1,IDR,
B281A18302,2301,IS01,Q,,PC,26,IDR,
B281A18402,2301,IS01,Q,,PC,14,IDR,
B281I112007,2301,IS01,Q,,PC,6,IDR,
B281I112008,2301,IS01,Q,,PC,2,IDR,
B281I17003,2301,IS01,Q,,PC,76,IDR,
B281I17004,2301,IS01,,,PC,79,IDR,
B281I17004,2301,IS01,Q,,PC,63,IDR,
B281I17005,2301,IS01,,,PC,79,IDR,
B281I17005,2301,IS01,Q,,PC,45,IDR,
B281I17007,2301,IS01,,,PC,79,IDR,
B281I17007,2301,IS01,Q,,PC,111,IDR,
B281I17008,2301,IS01,,,PC,10,IDR,
B281I17008,2301,IS01,Q,,PC,407,IDR,
B281I17011,2301,IS01,Q,,PC,68,IDR,
B281I17012,2301,IS01,,,PC,9,IDR,
B281I17012,2301,IS01,Q,,PC,157,IDR,
B281I17013,2301,IS01,Q,,PC,155,IDR,
B281I17015,2301,IS01,Q,,PC,25,IDR,
B281I17016,2301,IS01,Q,,PC,46,IDR,
B281I17020,2301,IS01,,,PC,27,IDR,
B281I17020,2301,IS01,Q,,PC,100,IDR,
B281I17021,2301,IS01,,,PC,138,IDR,
B281I17021,2301,IS01,Q,,PC,4,IDR,
B281I17021,2301,IS01,Q,,PC,76,IDR,
B281I18008,2301,IS01,Q,,PC,111,IDR,
B281I18009,2301,IS01,Q,,PC,112,IDR,
B281I18010,2301,IS01,Q,,PC,16,IDR,
B281I18010,2301,IS01,Q,,PC,4,IDR,
B281I18011,2301,IS01,Q,,PC,10,IDR,
B281I18012,2301,IS01,,,PC,30,IDR,
B281I18012,2301,IS01,Q,,PC,137,IDR,
B281I18013,2301,IS01,,,PC,30,IDR,
B281I18013,2301,IS01,Q,,PC,148,IDR,
B281O22001,2301,IS01,Q,,PC,34,IDR,
B282A18080,2301,IS01,Q,,PC,1,IDR,
B282A18080,2301,IS01,Q,,PC,11,IDR,
B282A18080,2301,IS01,Q,,PC,25,IDR,
B282A18080,2301,IS01,Q,,PC,52,IDR,
B282A18080,2301,IS01,Q,,PC,9,IDR,
B282A18080,2301,IS01,Q,,PC,9,IDR,
B282A18109,2301,IS01,Q,,SET,2.685,IDR,
B282A18209,2301,IS01,Q,,SET,2.929,IDR,
B282A18209,2301,IS01,Q,,SET,2,IDR,
B282K72009,2301,IS01,Q,,SET,51,IDR,
B283K56001,2301,IS01,Q,,PC,2,IDR,
B288A18401,2301,IS01,Q,,PC,33,IDR,
B288A18402,2301,IS01,Q,,PC,33,IDR,
B288A18403,2301,IS01,Q,,PC,33,IDR,
B288A18404,2301,IS01,Q,,PC,33,IDR,
B288A18405,2301,IS01,Q,,PC,33,IDR,
B288A18406,2301,IS01,Q,,PC,33,IDR,
B300O22003005,2301,IS01,Q,,PC,200,IDR,
B300O22003006,2301,IS01,Q,,PC,200,IDR,
B301K74010025,2301,IS01,Q,,PC,462,IDR,
B301K74010025,2301,IS01,Q,,PC,77,IDR,
B305A18006,2301,IS01,Q,,PC,11,IDR,
B305A18006,2301,IS01,Q,,PC,54,IDR,
B305A18006,2301,IS01,Q,,PC,6,IDR,
B305A18006,2301,IS01,Q,,PC,6,IDR,
B310A18109005,2301,IS01,Q,,PC,66,IDR,
B310A18109005,2301,IS01,Q,,PC,126,IDR,
B310A18109005,2301,IS01,Q,,PC,42,IDR,
B310A18109005,2301,IS01,Q,,PC,36,IDR,
B310A1810900501,2301,IS01,Q,,PC,40,IDR,
B310A1810900501,2301,IS01,Q,,PC,32,IDR,
B310A1810900501,2301,IS01,Q,,PC,92,IDR,
B310A1810900501,2301,IS01,Q,,PC,8,IDR,
B310A18109007,2301,IS01,Q,,PC,110,IDR,
B310A18109007,2301,IS01,Q,,PC,210,IDR,
B310A18109007,2301,IS01,Q,,PC,70,IDR,
B310A18109007,2301,IS01,Q,,PC,60,IDR,
B310A1810900701,2301,IS01,Q,,PC,16,IDR,
B310A1810900701,2301,IS01,Q,,PC,56,IDR,
B310A1810900701,2301,IS01,Q,,PC,92,IDR,
B310A1810900701,2301,IS01,Q,,PC,8,IDR,
B310A1810900801,2301,IS01,Q,,PC,120,IDR,
B310A1810900801,2301,IS01,Q,,PC,72,IDR,
B310A1810900801,2301,IS01,Q,,PC,24,IDR,
B310A1810900801,2301,IS01,Q,,PC,8,IDR,
B310A18109009,2301,IS01,Q,,PC,110,IDR,
B310A18109009,2301,IS01,Q,,PC,210,IDR,
B310A18109009,2301,IS01,Q,,PC,70,IDR,
B310A18109009,2301,IS01,Q,,PC,60,IDR,
B310A18109010101,2301,IS01,Q,,PC,120,IDR,
B310A18109010101,2301,IS01,Q,,PC,72,IDR,
B310A18109010101,2301,IS01,Q,,PC,24,IDR,
B310A18109010101,2301,IS01,Q,,PC,8,IDR,
B310A18109010201,2301,IS01,Q,,PC,40,IDR,
B310A18109010201,2301,IS01,Q,,PC,4,IDR,
B310A18109010201,2301,IS01,Q,,PC,92,IDR,
B310A18109010201,2301,IS01,Q,,PC,8,IDR,
B310A1810901101,2301,IS01,Q,,PC,120,IDR,
B310A1810901101,2301,IS01,Q,,PC,44,IDR,
B310A1810901101,2301,IS01,Q,,PC,52,IDR,
B310A1810901101,2301,IS01,Q,,PC,8,IDR,
B310A18109012,2301,IS01,Q,,PC,22,IDR,
B310A18109012,2301,IS01,Q,,PC,42,IDR,
B310A18109012,2301,IS01,Q,,PC,14,IDR,
B310A18109012,2301,IS01,Q,,PC,12,IDR,
B310A18109014,2301,IS01,Q,,PC,44,IDR,
B310A18109014,2301,IS01,Q,,PC,84,IDR,
B310A18109014,2301,IS01,Q,,PC,28,IDR,
B310A18109014,2301,IS01,Q,,PC,24,IDR,
B310A1810901401,2301,IS01,Q,,PC,20,IDR,
B310A1810901401,2301,IS01,Q,,PC,2,IDR,
B310A1810901401,2301,IS01,Q,,PC,46,IDR,
B310A1810901401,2301,IS01,Q,,PC,4,IDR,
B310A1810901601,2301,IS01,Q,,PC,60,IDR,
B310A1810901601,2301,IS01,Q,,PC,22,IDR,
B310A1810901601,2301,IS01,Q,,PC,26,IDR,
B310A1810901601,2301,IS01,Q,,PC,4,IDR,
B310A1810901701,2301,IS01,Q,,PC,60,IDR,
B310A1810901701,2301,IS01,Q,,PC,22,IDR,
B310A1810901701,2301,IS01,Q,,PC,26,IDR,
B310A1810901701,2301,IS01,Q,,PC,4,IDR,
B310A18109018,2301,IS01,Q,,PC,22,IDR,
B310A18109018,2301,IS01,Q,,PC,42,IDR,
B310A18109018,2301,IS01,Q,,PC,14,IDR,
B310A18109018,2301,IS01,Q,,PC,12,IDR,
B310A1810901801,2301,IS01,Q,,PC,20,IDR,
B310A1810901801,2301,IS01,Q,,PC,2,IDR,
B310A1810901801,2301,IS01,Q,,PC,46,IDR,
B310A1810901801,2301,IS01,Q,,PC,4,IDR,
B310A18109019,2301,IS01,Q,,PC,22,IDR,
B310A18109019,2301,IS01,Q,,PC,42,IDR,
B310A18109019,2301,IS01,Q,,PC,14,IDR,
B310A18109019,2301,IS01,Q,,PC,12,IDR,
B310A1810902001,2301,IS01,Q,,PC,60,IDR,
B310A1810902001,2301,IS01,Q,,PC,22,IDR,
B310A1810902001,2301,IS01,Q,,PC,26,IDR,
B310A1810902001,2301,IS01,Q,,PC,4,IDR,
B310A18109021,2301,IS01,Q,,PC,22,IDR,
B310A18109021,2301,IS01,Q,,PC,42,IDR,
B310A18109021,2301,IS01,Q,,PC,14,IDR,
B310A18109021,2301,IS01,Q,,PC,12,IDR,
B310A18109022,2301,IS01,Q,,PC,77,IDR,
B310A18109022,2301,IS01,Q,,PC,147,IDR,
B310A18109022,2301,IS01,Q,,PC,49,IDR,
B310A18109022,2301,IS01,Q,,PC,42,IDR,
B310A1810902201,2301,IS01,Q,,PC,12,IDR,
B310A1810902201,2301,IS01,Q,,PC,42,IDR,
B310A1810902201,2301,IS01,Q,,PC,69,IDR,
B310A1810902201,2301,IS01,Q,,PC,6,IDR,
B310A18109023,2301,IS01,Q,,PC,33,IDR,
B310A18109023,2301,IS01,Q,,PC,63,IDR,
B310A18109023,2301,IS01,Q,,PC,21,IDR,
B310A18109023,2301,IS01,Q,,PC,18,IDR,
B310A1810902301,2301,IS01,Q,,PC,20,IDR,
B310A1810902301,2301,IS01,Q,,PC,2,IDR,
B310A1810902301,2301,IS01,Q,,PC,46,IDR,
B310A1810902301,2301,IS01,Q,,PC,4,IDR,
B310A18109025,2301,IS01,Q,,PC,110,IDR,
B310A18109025,2301,IS01,Q,,PC,210,IDR,
B310A18109025,2301,IS01,Q,,PC,70,IDR,
B310A18109025,2301,IS01,Q,,PC,60,IDR,
B310A1810902501,2301,IS01,Q,,PC,40,IDR,
B310A1810902501,2301,IS01,Q,,PC,4,IDR,
B310A1810902501,2301,IS01,Q,,PC,92,IDR,
B310A1810902501,2301,IS01,Q,,PC,8,IDR,
B310A18109028,2301,IS01,Q,,PC,110,IDR,
B310A18109028,2301,IS01,Q,,PC,210,IDR,
B310A18109028,2301,IS01,Q,,PC,70,IDR,
B310A18109028,2301,IS01,Q,,PC,60,IDR,
B310A18109028101,2301,IS01,Q,,PC,40,IDR,
B310A18109028101,2301,IS01,Q,,PC,4,IDR,
B310A18109028101,2301,IS01,Q,,PC,92,IDR,
B310A18109028101,2301,IS01,Q,,PC,8,IDR,
B310A181090282,2301,IS01,Q,,PC,110,IDR,
B310A181090282,2301,IS01,Q,,PC,210,IDR,
B310A181090282,2301,IS01,Q,,PC,70,IDR,
B310A181090282,2301,IS01,Q,,PC,60,IDR,
B310A18109028201,2301,IS01,Q,,PC,40,IDR,
B310A18109028201,2301,IS01,Q,,PC,4,IDR,
B310A18109028201,2301,IS01,Q,,PC,92,IDR,
B310A18109028201,2301,IS01,Q,,PC,8,IDR,
B310A18109029,2301,IS01,Q,,PC,33,IDR,
B310A18109029,2301,IS01,Q,,PC,63,IDR,
B310A18109029,2301,IS01,Q,,PC,21,IDR,
B310A18109029,2301,IS01,Q,,PC,18,IDR,
B310A1810902901,2301,IS01,Q,,PC,2,IDR,
B310A1810902901,2301,IS01,Q,,PC,46,IDR,
B310A1810902901,2301,IS01,Q,,PC,4,IDR,
B310A18109030,2301,IS01,Q,,PC,110,IDR,
B310A18109030,2301,IS01,Q,,PC,210,IDR,
B310A18109030,2301,IS01,Q,,PC,70,IDR,
B310A18109030,2301,IS01,Q,,PC,60,IDR,
B310A1810903001,2301,IS01,Q,,PC,40,IDR,
B310A1810903001,2301,IS01,Q,,PC,4,IDR,
B310A1810903001,2301,IS01,Q,,PC,92,IDR,
B310A1810903001,2301,IS01,Q,,PC,8,IDR,
B310A18109033,2301,IS01,Q,,PC,121,IDR,
B310A18109033,2301,IS01,Q,,PC,231,IDR,
B310A18109033,2301,IS01,Q,,PC,77,IDR,
B310A18109033,2301,IS01,Q,,PC,66,IDR,
B310A1810903301,2301,IS01,Q,,PC,60,IDR,
B310A1810903301,2301,IS01,Q,,PC,16,IDR,
B310A1810903301,2301,IS01,Q,,PC,138,IDR,
B310A1810903301,2301,IS01,Q,,PC,12,IDR,
B310A18109038,2301,IS01,Q,,PC,11,IDR,
B310A18109038,2301,IS01,Q,,PC,21,IDR,
B310A18109038,2301,IS01,Q,,PC,7,IDR,
B310A18109038,2301,IS01,Q,,PC,6,IDR,
B310A1810903801,2301,IS01,Q,,PC,10,IDR,
B310A1810903801,2301,IS01,Q,,PC,1,IDR,
B310A1810903801,2301,IS01,Q,,PC,23,IDR,
B310A1810903801,2301,IS01,Q,,PC,2,IDR,
B310A18109041,2301,IS01,Q,,PC,11,IDR,
B310A18109041,2301,IS01,Q,,PC,21,IDR,
B310A18109041,2301,IS01,Q,,PC,7,IDR,
B310A18109041,2301,IS01,Q,,PC,6,IDR,
B310A1810904101,2301,IS01,Q,,PC,10,IDR,
B310A1810904101,2301,IS01,Q,,PC,1,IDR,
B310A1810904101,2301,IS01,Q,,PC,23,IDR,
B310A1810904101,2301,IS01,Q,,PC,2,IDR,
B310A1810904201,2301,IS01,Q,,PC,10,IDR,
B310A1810904201,2301,IS01,Q,,PC,1,IDR,
B310A1810904201,2301,IS01,Q,,PC,23,IDR,
B310A1810904201,2301,IS01,Q,,PC,2,IDR,
B310A18109044,2301,IS01,Q,,PC,110,IDR,
B310A18109044,2301,IS01,Q,,PC,210,IDR,
B310A18109044,2301,IS01,Q,,PC,70,IDR,
B310A18109044,2301,IS01,Q,,PC,60,IDR,
B310A1810904401,2301,IS01,Q,,PC,40,IDR,
B310A1810904401,2301,IS01,Q,,PC,4,IDR,
B310A1810904401,2301,IS01,Q,,PC,92,IDR,
B310A1810904401,2301,IS01,Q,,PC,8,IDR,
B310A18109045,2301,IS01,Q,,PC,11,IDR,
B310A18109045,2301,IS01,Q,,PC,21,IDR,
B310A18109045,2301,IS01,Q,,PC,7,IDR,
B310A18109045,2301,IS01,Q,,PC,6,IDR,
B310A18109046,2301,IS01,Q,,PC,11,IDR,
B310A18109046,2301,IS01,Q,,PC,21,IDR,
B310A18109046,2301,IS01,Q,,PC,7,IDR,
B310A18109046,2301,IS01,Q,,PC,6,IDR,
B310A1810904601,2301,IS01,Q,,PC,10,IDR,
B310A1810904601,2301,IS01,Q,,PC,1,IDR,
B310A1810904601,2301,IS01,Q,,PC,23,IDR,
B310A1810904601,2301,IS01,Q,,PC,2,IDR,
B310A18109047,2301,IS01,Q,,PC,11,IDR,
B310A18109047,2301,IS01,Q,,PC,21,IDR,
B310A18109047,2301,IS01,Q,,PC,7,IDR,
B310A18109047,2301,IS01,Q,,PC,6,IDR,
B310A1810904801,2301,IS01,Q,,PC,60,IDR,
B310A1810904801,2301,IS01,Q,,PC,36,IDR,
