PROJECT DEF,WBS ELEMENT,SO DOCUMENT,SO DATE,REQ DELIVERY DATE,DURATION,CUSTOMER PO NUMBER,CUSTOMER CODE,CUSTOMER NAME,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM_1,UNIT PRICE DO,TOTAL PRICE DO,TO BE DELIVER QTY,INVOICED QTY,UOM_2,UNIT PRICE BILLING,TOTAL PRICE BILLING,TO BE INVOICE,STATUS,UNIT PRICE INVOICE,TO BE DELIVER INVOICE
M1-22002,M1-22002.4500009890,1200000166,2023-01-10,2022-12-15,359,4500009890,140000,"INKA (PERSERO), PT",FGB561G13005,MR HOSE COUPLING FOR INTERCAR,10,2,0,3669694,7339388,0,0,3669694,0,2,0,0,0,0,0,On Progress,3669694,2
M1-22002,M1-22002.4500009890,1200000166,2023-01-10,2022-12-15,359,4500009890,140000,"INKA (PERSERO), PT",FGB561G13006,BP HOSE COUPLING FOR INTERCAR,20,2,0,2193914,4387828,0,0,2193914,0,2,0,0,0,0,0,On Progress,2193914,2
M1-22002,M1-22002.4500009890,1200000166,2023-01-10,2022-12-15,359,4500009890,140000,"INKA (PERSERO), PT",FGB561G13110,BP COUPLING,30,1,0,1257031,1257031,0,0,1257031,0,1,0,0,0,0,0,On Progress,1257031,1
M1-22002,M1-22002.4500009890,1200000166,2023-01-10,2022-12-15,359,4500009890,140000,"INKA (PERSERO), PT",FGB561G13111,MRP COUPLING,40,1,0,2104140,2104140,0,0,2104140,0,1,0,0,0,0,0,On Progress,2104140,1
M1-22002,M1-22002.4500009890,1200000166,2023-01-10,2022-12-15,359,4500009890,140000,"INKA (PERSERO), PT",FGB50AC2280,DOOR CLOSER,50,1,0,3194952,3194952,0,0,3194952,0,1,0,0,0,0,0,On Progress,3194952,1
M1-22002,M1-22002.4500009890,1200000166,2023-01-10,2022-12-15,359,4500009890,140000,"INKA (PERSERO), PT",FGB50AC2116,HOUSING BEARING IGUS,60,2,0,1898650,3797300,0,0,1898650,0,2,0,0,0,0,0,On Progress,1898650,2
M3-22003,M3-22003.9000000089,1200000167,2023-01-10,2022-11-30,344,POIMST/0822/00056,140002,"IMS TRADING, PT",FGB020H17020,GEAR (End Cap) Material SS400 sesuai Dra,10,2,0,24600000,49200000,2,0,24600000,49200000,0,2,0,0,49200000,0,Complete,24600000,0
M3-22003,M3-22003.9000000090,1200000168,2023-01-10,2022-11-28,342,POIMST/1022/00001,140002,"IMS TRADING, PT",FGB551U01107,HEAD LAMP COVER,10,1,0,2394570,2394570,0,0,2394570,0,1,0,0,0,0,0,On Progress,2394570,1
M3-22003,M3-22003.9000000090,1200000168,2023-01-10,2022-11-28,342,POIMST/1022/00001,140002,"IMS TRADING, PT",FGB50AA3042241,FOG LAMP COVER KIRI,20,1,0,2080500,2080500,0,0,2080500,0,1,0,0,0,0,0,On Progress,2080500,1
M3-22003,M3-22003.9000000090,1200000168,2023-01-10,2022-11-28,342,POIMST/1022/00001,140002,"IMS TRADING, PT",FGB50AA304224,RIGHT FOR GLASS TEMPERED GLASS 6 MM,30,1,0,4161000,4161000,0,0,4161000,0,1,0,0,0,0,0,On Progress,4161000,1
M9-22008,M9-22008.9000000191,1200000169,2023-01-12,2023-01-20,32,PON/GMB/1222/00063,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0058,ABS 058 Jeruk Abu,10,75,0,20235000,1517625000,75,0,20235000,1517625000,0,75,0,0,1517625000,0,Complete,20235000,0
M9-22008,M9-22008.9000000191,1200000169,2023-01-12,2023-01-20,32,PON/GMB/1222/00063,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0059A,ABS 059A Jeruk Abu,20,30,0,4800000,144000000,30,0,4800000,144000000,0,30,0,0,144000000,0,Complete,4800000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0063,ABS 063 Jeruk Abu,10,15,0,2988000,44820000,15,0,2988000,44820000,0,15,0,0,44820000,0,Complete,2988000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0064,ABS 064 Jeruk Abu,20,15,0,3534000,53010000,15,0,3534000,53010000,0,15,0,0,53010000,0,Complete,3534000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0067,ABS 067 Jeruk Abu,30,15,0,7125000,106875000,15,0,7125000,106875000,0,15,0,0,106875000,0,Complete,7125000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0068,ABS 068 Jeruk Abu,40,15,0,5931000,88965000,15,0,5931000,88965000,0,15,0,0,88965000,0,Complete,5931000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0069,ABS 069 Jeruk Abu,50,15,0,5931000,88965000,15,0,5931000,88965000,0,15,0,0,88965000,0,Complete,5931000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0070,ABS 070 JERUK ABU,60,15,0,5101500,76522500,15,0,5101500,76522500,0,15,0,0,76522500,0,Complete,5101500,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0071,ABS 071 JERUK ABU,70,15,0,5193000,77895000,15,0,5193000,77895000,0,15,0,0,77895000,0,Complete,5193000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0072,ABS 072 JERUK ABU,80,15,0,5250000,78750000,15,0,5250000,78750000,0,15,0,0,78750000,0,Complete,5250000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0073,ABS 073 Jeruk Abu,90,15,0,7980000,119700000,15,0,7980000,119700000,0,15,0,0,119700000,0,Complete,7980000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0074,ABS 074 Jeruk Abu,100,15,0,7980000,119700000,15,0,7980000,119700000,0,15,0,0,119700000,0,Complete,7980000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0075,ABS 075 Jeruk Abu,110,15,0,5706000,85590000,15,0,5706000,85590000,0,15,0,0,85590000,0,Complete,5706000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0076,ABS 076 Jeruk Abu,120,15,0,5565000,83475000,15,0,5565000,83475000,0,15,0,0,83475000,0,Complete,5565000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0078,ABS 078 Jeruk Abu,130,30,0,6447000,193410000,30,0,6447000,193410000,0,30,0,0,193410000,0,Complete,6447000,0
M9-22008,M9-22008.9000000190,1200000170,2023-01-12,2023-01-20,32,PON/GMB/1222/00062,20047,"GUNUNG MAS BERSINAR,PT",FGB566A0079,ABS 079 Jeruk Abu,140,45,0,6214500,279652500,45,0,6214500,279652500,0,45,0,0,279652500,0,Complete,6214500,0
