Project definition,Name,Name of resp.person,Applicant no.,Company code,Profit center,Deletion Indicator
M1-22029,PENGADAAN 53 UNIT BUS LISTRIK UK 8 METER,Project Coordinator,0,2300,2301,
M1-22030,PENGADAAN 9 UNIT BUS LISTRIK UK 8 METER,Project Coordinator,0,2300,2301,
M1-22031,INKA-PENGADAAN K UKUR KONGO,Project Coordinator,0,2300,2301,
M1-22032,PENGADAAN KERETA UKUR LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-22033,PGDN VM BRIDGE INSPECTION LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-22034,PERBAIKAN 133 UNIT GD 54 TON,Project Coordinator,0,2300,2301,
M1-22035,PROTOTYPE BOGIE MEDIUM SPEED TRAIN,Project Coordinator,0,2300,2301,
M1-22036,PROTOTYPE TRAM LISTRIK,Project Coordinator,0,2300,2301,
M1-22037,1 SET KERETA WISATA JLN BOGOWONTO MADIUN,Project Coordinator,0,2300,2301,
M1-22038,FASILITAS PRODUKSI,Project Coordinator,0,2300,2301,
M1-22039,PENGADAAN 17 UNIT GGW PT TEL PP,Project Coordinator,0,2300,2301,
M1-22040,PGDN 2 TS KA PERINTIS MAKASSAR PARE PARE,Project Coordinator,0,2300,2301,
M1-22041,PENGADAAN 612 KERETA REPLACEMENT PT KAI,Project Coordinator,0,2300,2301,
M1-23001,PENGADAAN 1 CAR PRE SERIES KA LUXURY,Project Coordinator,0,2300,2301,
M1-23002,PGDN 10 UN LOCO PLATFORM UGL,Project Coordinator,0,2300,2301,
M1-23003,PEKERJAAN PGDN 16 TS KRL KCI,Project Coordinator,0,2300,2301,
M1-23004,PGDN 2 TS KA PERINTIS MAKASSAR PARE PARE,Project Coordinator,0,2300,2301,
M1-23005,31 TS LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-23006,PROTOTYPE AUTONOMOUS VEHICLE,Project Coordinator,0,2300,2301,
M1-23007,4 TS KRDE BIAS,Project Coordinator,0,2300,2301,
M1-23008,PENGADAAN KERETA UKUR LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-23009,PGDN VM BRIDGE INSPECTION LRT JABODEBEK,Project Coordinator,0,2300,2301,
M1-23010,PGDN PERALATAN SARANA PENGGERAK TMC PPI,Project Coordinator,0,2300,2301,
M1-23011,PENGADAAN 10 UNIT KA LUXURY + 1 CAR CDGN,Project Coordinator,0,2300,2301,
M1-23012,PGDN PROTOTYPE KCMP INKA,Project Coordinator,0,2300,2301,
M1-24001,PROYEK RETROFIT 19 TS KRL KCI,Project Coordinator,0,2300,2301,
M1-24003,PENGADAAN 100 UNIT BOGIE TB 1014 2024,Project Coordinator,0,2300,2301,
M1-24004,ALL PROJECT PENGEMBANGAN PT INKA,Project Coordinator,0,2300,2301,
