Material,Plnt,SLoc,S,Valuation,Special stock number,SL,Batch,BUn,Unrestricted,Crcy,Value Unrestricted,Transit/Transf.,Val. in Trans./Tfr,In Quality Insp.,Value in QualInsp.,Restricted-Use,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
A08ND0012,2301,IS01,Q,M,M1-22041.4300003938.3,,,M,"11,00",IDR,1.716.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A08ND0012,2301,IS01,Q,M,M1-23003.4500010780,,,M,"192,00",IDR,29.952.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A08ND0012,2301,IS01,Q,M,M1-23003.9000000337,,,M,"48,00",IDR,7.488.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A08ND0020,2301,IS01,Q,M,M1-23011.4300004437,,,M,"1,00",IDR,117.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A08ND0020,2301,IS01,Q,M,M1-22041.4300003938.1,,,M,"102,00",IDR,11.985.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A08ND0020,2301,IS01,Q,M,M1-22041.4300003938.2,,,M,"54,00",IDR,6.345.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A08ND0020,2301,IS01,Q,M,M1-22041.4300003938.3,,,M,"7,00",IDR,822.500,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A08ND0020,2301,IS01,Q,M,M1-22041.4300003938.5,,,M,"2,00",IDR,240.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A08ND0020,2301,IS01,Q,M,M1-23003.4500010780,,,M,"96,00",IDR,11.280.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A08ND0020,2301,IS01,Q,M,M1-23003.9000000337,,,M,"24,00",IDR,2.820.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A08RF0101,2301,IS01,Q,M,M1-22041.4300003938.1,,,M,"100,00",IDR,5.500.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A09SI0128-25,2301,IS01,Q,M,M1-22014.4300003529,,,ROL,2,IDR,1.920.000,0,0,0,0,0,0,0,0,0,0
A09SI0128-50,2301,IS01,Q,M,M1-22027.4300003542,,,ROL,4,IDR,3.840.000,0,0,0,0,0,0,0,0,0,0
A09SJ0500B4#AL80,2301,IS01,Q,M,M1-22041.4300003938.2,,,SHT,"456,00",IDR,38.760.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A09SJ1500B4#AL50,2301,IS01,Q,M,M1-23010.4300004430,,,SHT,"21,00",IDR,1.935.150,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
A09TA0050,2301,IS01,Q,M,M1-22041.4300003938.1,,,SHT,"1,00",IDR,1.210.000,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0
