PROJECT DEF,WBS_element,Sales_Document,SO DATE,CUSTOMER PO NUMBER,Sold-to_party,MATERIAL CODE,MATERIAL NAME,NO,QTY SO,UOM,UNIT PRICE SO,TOTAL PRICE SO,DELIVER QTY,UOM.1,UNIT PRICE DO,DELIVERED,TO BE DELIVER QTY,INVOICED QTY,UOM.2,UNIT PRICE INVOICE,TOTAL PRICE BILLING,TO BE INVOICED,PO date,Req.dlv.dt,Duration (in days),Status,Persen
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AG1002P03,Openable Window,30,1188,SET,10094506090.0,11992273234920.0,428,,10094506090.0,4320448606520.0,760,428,,10094506090.0,4320448606520.0,0,04.09.2023,30.04.2026,969,On Progress,36.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000004,HANGER BRACKET,10,400,PC,38160000.0,15264000000.0,400,,38160000.0,15264000000.0,0,0,,38160000.0,0.0,400,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB031M25000003,SPRING SEAT,60,400,PC,115160000.0,46064000000.0,400,,115160000.0,46064000000.0,0,0,,115160000.0,0.0,400,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB032M25000004,PLATE,640,400,PC,2520000.0,1008000000.0,400,,2520000.0,1008000000.0,0,0,,2520000.0,0.0,400,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004005,SWING HANGER BRACKET,2180,400,PC,53560000.0,21424000000.0,400,,53560000.0,21424000000.0,0,0,,53560000.0,0.0,400,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004007,PIN BRACKET,2220,400,PC,6200000.0,2480000000.0,400,,6200000.0,2480000000.0,0,0,,6200000.0,0.0,400,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004025,BRACKET SEAT,2620,400,PC,11560000.0,4624000000.0,400,,11560000.0,4624000000.0,0,0,,11560000.0,0.0,400,20.09.2024,31.01.2025,133,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004026,BRACKET SEAT,2640,400,PC,5760000.0,2304000000.0,400,,5760000.0,2304000000.0,0,0,,5760000.0,0.0,400,20.09.2024,31.01.2025,133,Complete,100.0
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AG1002P03,Openable Window,60,796,SET,6763658964.0,5383872535344.0,381,,6763658964.0,2576954065284.0,415,381,,6763658964.0,2576954065284.0,0,04.09.2023,30.04.2026,969,On Progress,47.9
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGC95LF0809,Palu darurat,700,796,PC,60185560.0,47907705760.0,347,,60185560.0,20884389320.0,449,347,,60185560.0,20884389320.0,0,04.09.2023,30.04.2026,969,On Progress,43.6
M1-22041,M1-22041.4500010091,1200000287,2024-01-22,4500010091,140000,FGB50AG1002P02,Emergency Window,50,796,SET,4559207012.0,3629128781552.0,322,,4559207012.0,1468064657864.0,474,322,,4559207012.0,1468064657864.0,0,04.09.2023,30.04.2026,969,On Progress,40.5
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB44KD0010,WASHER_PLAIN,320,320,PC,233280.0,74649600.0,320,,233280.0,74649600.0,0,0,,233280.0,0.0,320,06.06.2024,12.07.2024,36,Complete,100.0
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB42EI1016,SOCKET_HEAD_CAP_SCREW,270,300,PC,1942800.0,582840000.0,300,,1942800.0,582840000.0,0,0,,1942800.0,0.0,300,06.06.2024,12.07.2024,36,Complete,100.0
M1-23002,M1-23002.4500011040,1200000309,2024-06-10,4500011040,140000,FGB44KD0100,WASHER_PLAIN,330,300,PC,315600.0,94680000.0,300,,315600.0,94680000.0,0,0,,315600.0,0.0,300,06.06.2024,12.07.2024,36,Complete,100.0
M1-24003,M1-24003.9000000414,1200000332,2024-10-05,4500011797,140000,FGB070M25004006,BRACKET SEAT,2200,300,PC,3240000.0,972000000.0,300,,3240000.0,972000000.0,0,0,,3240000.0,0.0,300,20.09.2024,31.01.2025,133,Complete,100.0
M3-23001,M3-23001.9000000314,1200000274,2023-11-20,POIMST/1123/00033,140002,FGB671F11002,RUBBER FRAME JENDELA,20,300,ROL,5910000.0,1773000000.0,300,,5910000.0,1773000000.0,0,300,,5910000.0,1773000000.0,0,16.11.2023,31.12.2023,45,Complete,100.0
M1-22038,M1-22038.4500010284,1200000286,2024-01-17,4500010284,140000,FGD70RM7012,Kawat Las,30,300,PC,7770000.0,2331000000.0,300,,7770000.0,2331000000.0,0,300,,7770000.0,2331000000.0,0,29.12.2023,31.01.2024,33,Complete,100.0
M3-24001,M3-24001.9000000339,1200000337,2024-10-09,POIMST/0124/00044,140002,FGB671F11002,RUBBER FRAME JENDELA,10,300,ROL,5910000.0,1773000000.0,300,,5910000.0,1773000000.0,0,300,,5910000.0,1773000000.0,0,26.01.2024,08.12.2024,317,Complete,100.0
